RecordNo,PetalWidth,PetalLength,SepalWidth,SepalLength,SpeciesName
1,2,14,33,50,Setosa
2,24,56,31,67,Verginica
3,23,51,31,69,Verginica
4,2,10,36,46,Setosa
5,20,52,30,65,Verginica
6,19,51,27,58,
7,13,45,28,57,Versicolor
8,16,47,33,63,Versicolor
9,17,45,25,49,Verginica
10,14,47,32,70,Versicolor
11,2,16,31,48,Setosa
12,19,50,25,63,Verginica
13,1,14,36,49,Setosa
14,2,13,32,44,Setosa
15,12,40,26,58,
16,18,49,27,63,Verginica
17,10,33,23,50,Versicolor
18,2,16,38,51,Setosa
19,2,16,30,50,
20,21,56,28,64,Verginica
21,4,19,38,51,Setosa
22,2,14,30,49,Setosa
23,10,41,27,58,Versicolor
24,15,45,29,60,Versicolor
25,2,14,36,50,Setosa
26,,14,27,58,Verginica
27,4,15,34,54,Setosa
28,18,55,31,64,Verginica
29,10,33,24,49,Versicolor
30,2,14,42,55,Setosa
31,15,50,22,60,Verginica
32,14,39,27,52,Versicolor
33,2,14,29,44,Setosa
34,12,39,27,58,Versicolor
35,,57,32,69,Verginica
36,15,42,30,59,Versicolor
37,20,49,28,56,Verginica
38,18,58,25,67,Verginica
39,13,44,23,63,Versicolor
40,15,49,25,63,Versicolor
41,11,30,25,51,Versicolor
42,21,54,31,69,Verginica
43,25,61,36,72,Verginica
44,13,36,29,56,Versicolor
45,21,55,30,68,Verginica
46,1,14,30,48,Setosa
47,3,17,38,57,Setosa
48,14,44,30,66,Versicolor
49,4,15,37,51,Setosa
50,17,50,30,67,Versicolor
51,22,56,28,64,
52,15,51,28,63,
53,15,45,22,62,Versicolor
54,14,46,30,61,Versicolor
55,11,39,25,56,Versicolor
56,23,59,32,68,Verginica
57,,54,34,62,Verginica
58,25,57,33,67,
59,2,13,35,55,Setosa
60,15,45,32,64,Versicolor
61,18,51,30,59,Verginica
62,23,53,32,64,Verginica
63,15,45,30,54,
64,21,57,33,67,Verginica
65,2,13,30,44,Setosa
66,2,16,32,47,Setosa
67,18,60,32,72,Verginica
68,18,49,30,61,Verginica
69,2,12,32,50,Setosa
70,1,11,30,43,Setosa
71,14,44,31,67,Versicolor
72,2,14,35,51,Setosa
73,4,16,34,50,Setosa
74,10,35,26,57,Versicolor
75,23,61,30,77,Verginica
76,13,42,26,57,Versicolor
77,,15,41,52,Setosa
78,18,48,30,60,Verginica
79,13,42,27,56,Versicolor
80,2,15,31,49,Setosa
81,4,17,39,54,Setosa
82,,45,34,60,Versicolor
83,10,35,20,50,Versicolor
84,2,13,32,47,Setosa
85,13,54,29,62,Versicolor
86,2,15,34,51,Setosa
87,10,50,22,60,Versicolor
88,1,15,31,49,Setosa
89,2,15,37,54,Setosa
90,12,47,28,61,Versicolor
91,13,41,28,57,Versicolor
92,4,13,39,54,Setosa
93,20,51,32,65,Verginica
94,15,49,31,69,Versicolor
95,13,40,25,55,Versicolor
96,3,13,23,45,Setosa
97,3,15,38,51,Setosa
98,14,48,28,68,Versicolor
99,2,15,35,52,Setosa
100,25,60,33,63,Verginica
101,15,46,28,65,Versicolor
102,3,14,34,46,Setosa
103,18,48,32,59,Versicolor
104,16,51,27,60,Versicolor
105,18,55,30,65,Verginica
106,5,17,33,51,Setosa
107,22,67,38,77,Verginica
108,21,66,30,76,Verginica
109,13,52,30,67,Verginica
110,13,40,28,61,Versicolor
111,11,38,24,55,Versicolor
112,2,14,34,52,Setosa
113,20,64,38,79,Verginica
114,6,16,35,50,Setosa
115,20,67,28,77,Verginica
116,12,44,26,55,Versicolor
117,3,14,30,48,Setosa
118,2,19,34,48,Setosa
119,,56,26,61,Verginica
120,2,12,40,58,Setosa
121,18,48,28,62,Verginica
122,15,45,30,56,Versicolor
123,2,14,32,46,Setosa
124,4,15,44,57,Setosa
125,24,56,34,63,Verginica
126,16,58,30,72,Verginica
127,21,59,30,71,Verginica
128,18,56,29,63,Verginica
129,12,42,30,57,Versicolor
130,23,69,26,77,Verginica
131,13,56,29,66,Versicolor
132,2,15,34,52,Setosa
133,10,37,24,55,Versicolor
134,2,15,31,46,Setosa
135,19,61,28,74,Verginica
136,3,13,35,50,Setosa
137,18,63,29,73,Verginica
138,15,47,31,67,Versicolor
139,13,41,30,56,Versicolor
140,13,43,29,64,Versicolor
141,22,58,30,65,Verginica
142,3,14,35,51,Setosa
143,14,47,29,61,Versicolor
144,19,53,27,64,Verginica
145,2,16,34,48,Setosa
146,20,50,25,57,Verginica
147,13,40,23,55,Versicolor
148,2,17,34,54,Setosa
149,24,51,28,58,Verginica
150,2,15,37,53,Setosa
